"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","task","condition","rt","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","stimulus","response","slider_start","labels","choices","question_order","accuracy"
"pavlovia_init","pavlovia","0","1416","0.0-0.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preload","1","4218","0.0-1.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","true","false","[]","[]","[]","Preload","Forecast","","","","","","","","","","","","","","","","","","","",""
"","fullscreen","2","7545","0.0-2.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","true","","","","","Fullscreen","","2316","18:42:33","","","","","","","","","","","","","","","","","",""
"","browser-check","3","8540","0.0-3.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","Browser_Check","","","","1536","864","true","chrome","118.0.0","false","Windows 10","true","60.57","true","true","","","","","","",""
"","html-keyboard-response","4","75184","0.0-4.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","Instruction","","66643","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch a set of movie clips. You will also answer questions about your experience after watching each clip. <br><br><br> <strong><i>Please be aware</i> that these movie clips are sourced from horror films and may contain mature language, gore, violence, mutilation, and/or harm to oneself or others.</strong> <br><br><br> If you are not comfortable with continuing, please exit this experiment now and \""return\"" your participation on Prolific. <br><br><br><br> Otherwise, please press the <strong>SPACE BAR</strong> to continue</p>""]"," ","","","","",""
"","image-button-response","5","77713","0.0-5.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","Consent","","2527","","","","","","","","","","","","","components/consent/consent.png","0","","","","",""
"","html-keyboard-response","6","79639","0.0-6.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","Instr_Task","","1925","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","7","85830","0.0-7.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","Instr_Task","","6191","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 20 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","8","95116","0.0-8.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","Instr_Task","","9286","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","9","130544","0.0-9.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","Instr_Task","","35428","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">During this experiment, you will watch four short clips from horror movies. These clips may elicit some negative or unwanted emotional reactions. <br><br><br> <strong> Please watch and react to these clips as you naturally would</strong>. Before and after every clip, you will record the intensity of your negative emotions. You will also answer questions regarding your thoughts, behaviors, or experiences after watching all of the clips. <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","10","132159","0.0-10.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","Instr_ExpStart","","1614","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">The experiment will now start! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>""]"," ","","","","",""
"","browser-check","11","133156","0.0-11.0","6275757da6d861932cb9beb4","652d46c8909a0ef52332ec58","652f0d95b9d207211b3ea67b","","","","","","Browser_Check","","","","1536","754","true","chrome","118.0.0","false","Windows 10","true","60.25","true","true","","","","","","",""
